N,카테고리,내용,링크
0,[오늘의 날짜],2021년 05월 25일 (Tue)
1,[뉴스 정치],"1. 검사 시절 김오수, 盧 사망 후 ""대검 이인규 수사팀 격려, 감사""",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=088&aid=0000704586
2,[뉴스 정치],"2. [인터뷰] 권덕철 ""모더나 국내 생산분 우선확보할 수 있도록 협상 노력""",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=437&aid=0000267221
3,[뉴스 정치],"3. 靑 ""中, 경제 보복 없을 것···이재용 사면 별도 고려""",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=011&aid=0003914661
4,[뉴스 정치],"4. 임종석, 대선 불출마 가닥…추미애는 6월초 선언할 듯",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=448&aid=0000329128
5,[뉴스 정치],"5. 野 당권지지도, 이준석 30.3%로 또 1위...나경원과 11.9%p 격차",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=366&aid=0000722301
6,[뉴스 경제],1. ‘중부권 동서횡단철도’ 반영 총력전,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=056&aid=0011050761
7,[뉴스 경제],"2. 대림동 부동산엔 돈 세는 기계가? 국책연구원도 ""외국인 투자 규제 필요""",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=469&aid=0000606541
8,[뉴스 경제],3. 부활 노리는 ‘싸이월드’…잠든 ‘도토리’ 24억 원 환불 시작,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=056&aid=0011050753
9,[뉴스 경제],4. 전국 첫 트램 ‘오륙도선’…교통 난구간은 ‘단선’으로,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=056&aid=0011050731
10,[뉴스 경제],"5. 한라산 중산간에 수입 전기차 무더기 방치, 왜?",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=056&aid=0011050727
11,[뉴스 IT/과학],1. 방탄이들 버터 2억뷰…4일만에 신기록,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=008&aid=0004592316
12,[뉴스 IT/과학],"2. 독일, 내년부터 일반도로서 완전자율주행 허용",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=092&aid=0002223026
13,[뉴스 IT/과학],3. [영상] “톰 행크스 진짜 한국인 됐다?” 입모양 움직임까지 똑같은 ‘더빙’ 기술,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001839530
14,[뉴스 IT/과학],4. “넷플릭스 돈 더 내고 봐?”…OTT 구독에 통장이 ‘텅장’ [IT선빵!],https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001839528
15,[뉴스 IT/과학],"5. ‘개밥바라기’ 금성, 이번 주부터 한층 더 밝게 보인다",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=081&aid=0003188957
16,[뉴스 CNBC],1. Bitcoin crash opens door to a tax loophole for investors,https://www.cnbc.com/2021/05/25/bitcoin-crash-opens-door-to-a-tax-loophole-for-investors.html
17,[뉴스 CNBC],"2. Home prices in March saw highest growth in over 15 years, S&P Case-Shiller says",https://www.cnbc.com/2021/05/25/home-prices-in-march-saw-highest-growth-in-over-15-years-sp-case-shiller.html
18,[뉴스 CNBC],3. Russia's power over Belarus is in the spotlight after plane 'hijacking' incident,https://www.cnbc.com/2021/05/25/russias-defense-of-belarus-hijack-shows-its-growing-influence.html
19,[뉴스 CNBC],4. India isn't the only one. Covid cases are rising at record levels in these places too,https://www.cnbc.com/2021/05/25/covid-argentina-nepal-and-others-see-cases-rising-rapidly-like-india.html
20,[뉴스 CNBC],"5. Moderna says its Covid vaccine is 100% effective in teens, plans to seek FDA OK in early June",https://www.cnbc.com/2021/05/25/covid-vaccine-moderna-says-shot-is-100percent-effective-in-teens-plans-to-seek-fda-ok-in-june.html
20,[경제 관련 데이터],"달러환율 1,123.00전일대비 3.50(-0.31%) 하락"
21,[경제 관련 데이터],"나스닥지수 13,661.17전일대비 190.18(+1.41%) 상승"
22,[경제 관련 데이터],"S&P500지수 4,197.05전일대비 41.19(+0.99%) 상승"
