N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 05월 26일 (Wed)
1#,[뉴스 정치]#,"1. 나경원, '김동연과 교감' 이광재 주장에 ""이미 文정권서 마음 떠나···접촉은 안 해""#",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=011&aid=0003914677
2#,[뉴스 정치]#,"2. 이재명 `외연 확장`, 정세균 `선명성 강화`, 이낙연 `경청과 소통`(종합)#",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=018&aid=0004938662
3#,[뉴스 정치]#,3. [월간중앙] 호남과 친문 아우르는 정세균 전 국무총리의 대권 플랜#,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=025&aid=0003104370
4#,[뉴스 정치]#,4. '성추문·내로남불에 무능한 중년男'…與 이미지 추락(종합)#,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=001&aid=0012415910
5#,[뉴스 정치]#,"5. 원점서 다시 시작된 손실보상법...""최대한 보상"" vs '신중'#",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001592626
6#,[뉴스 경제]#,1. 작년 첫 상장한 액티브 ETF 3종 수익률은 '합격점'#,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=018&aid=0004938670
7#,[뉴스 경제]#,2. ETF 시장 60조 시대…'액티브'로 더 날개 달까#,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=018&aid=0004938668
8#,[뉴스 경제]#,"3. [빅뉴스] 가계 빚 천765조 또 사상최대, 생활고에 영끌·빚투까지…미국서 ‘우한 연구소 코로나 유출설’ 재점화#",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=056&aid=0011050815
9#,[뉴스 경제]#,4. 바다가 주목하는 ‘암모니아’…100조 시장 선점 경쟁 치열#,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=005&aid=0001442051
10#,[뉴스 경제]#,5. 차는 잘 팔린다는데…부품업계는 ‘산넘어 산’#,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=025&aid=0003104421
11#,[뉴스 IT/과학]#,"1. 미래 먹거리 좌우할 AI 특허, 한국 건수는 많지만…#",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=025&aid=0003104430
12#,[뉴스 IT/과학]#,"2. '반도체 슈퍼사이클' 온다…삼성·SK 실적, 얼마나 늘어날까#",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=629&aid=0000085178
13#,[뉴스 IT/과학]#,"3. 갤버즈 끼고 귀 염증 생기면 환불·치료비…""품질엔 문제없어""#",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=008&aid=0004592330
14#,[뉴스 IT/과학]#,4. “유튜버·인플루언서 공략”…스마트폰 시대 ‘디카’의 생존법#,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=032&aid=0003076229
15#,[뉴스 IT/과학]#,5. 방탄이들 버터 2억뷰…4일만에 신기록#,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=008&aid=0004592316
16#,[뉴스 CNBC]#,1. Bitcoin traders using up to 100-to-1 leverage are driving the wild swings in cryptocurrencies#,https://www.cnbc.com/2021/05/25/bitcoin-crashes-driven-by-big-margin-bets-new-crypto-banking.html
17#,[뉴스 CNBC]#,2. Bitcoin crash opens door to a tax loophole for investors#,https://www.cnbc.com/2021/05/25/bitcoin-crash-opens-door-to-a-tax-loophole-for-investors.html
18#,[뉴스 CNBC]#,"3. DC attorney general sues Amazon on antitrust grounds, alleges it illegally raises prices#",https://www.cnbc.com/2021/05/25/dc-attorney-general-sues-amazon-on-antitrust-grounds-alleges-it-illegally-raises-prices.html
19#,[뉴스 CNBC]#,"4. Moderna says its Covid vaccine is 100% effective in teens, plans to seek FDA OK in early June#",https://www.cnbc.com/2021/05/25/covid-vaccine-moderna-says-shot-is-100percent-effective-in-teens-plans-to-seek-fda-ok-in-june.html
20#,[뉴스 CNBC]#,5. These are the 2021 CNBC Disruptor 50 companies#,https://www.cnbc.com/2021/05/25/these-are-the-2021-cnbc-disruptor-50-companies.html
20#,[경제 관련 데이터]#&,"달러환율 1,123.00전일대비 3.50(-0.31%) 하락"
21#,[경제 관련 데이터]#,"나스닥지수 13,642.01전일대비 19.16(-0.14%) 하락"
22#,[경제 관련 데이터]#,"S&P500지수 4,188.20전일대비 8.85(-0.21%) 하락"
