N,카테고리,내용,링크
0,[오늘의 날짜],2021년 05월 20일 (Thu)
1,[오늘의 날씨],"현재 18℃  (최저 17˚/ 최고 24˚)
흐림, 어제보다 4˚ 높아요
오전 강수확률 30% / 오후 강수확률 70%
미세먼지 14㎍/㎥좋음
초미세먼지 0.018ppm좋음"
2,[오늘의 영어 회화],"Bertha: Who is the keynote speaker at this seminar?
Rob: We decided to ask Mr. Robert Kim to give the keynote speech. His name isn’t really well known in the software industry, though.
Bertha: Then why is he giving the keynote speech?
Rob: Well, Mr. Kim is basically the kind of guy who remains behind the scenes, but who knows virtually everything there is to know about software and the future of the software industry.
"
3,[오늘의 영어 회화],"Bertha: 이 세미나의 기조 연설가는 누구인가요?
Rob: 저희는 Mr. Robert Kim에게 기조 연설을 부탁하기로 결정했어요. 비록 그가 소프트웨어 시장에 잘 알려져 있지는 않지만요.
Bertha: 그렇다면, 왜 그가 기조 연설을 하나요?
Rob: 음, Mr. Kim은 보통 직접 나서서 일하는 분은 아니지만, 실질적으로 소프트웨어와 소프트웨어 산업의 미래에 대해서 알기 위한 모든 것을 알고 계시거든요.
"
4,[국내 정치 헤드라인 뉴스],"1. ""국회 정상화됐지만""...26일 김오수 청문회 '뇌관'","https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001590130
"
5,[국내 정치 헤드라인 뉴스],"2. 송영길 이번엔 ""집값 6%만""...""또 대출로 집 사라?""","https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001590112
"
6,[국내 정치 헤드라인 뉴스],3. 영남 넘어 ‘젊은 피’ 뜰까?…너도나도 尹 마케팅,"https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=056&aid=0011047274
"
7,[국내 정치 헤드라인 뉴스],4. 민주당 내일 재산세 감면 개편안 확정할 듯…당내서는 아직 찬반 합의 안돼[종합],"https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=088&aid=0000703706
"
8,[국내 정치 헤드라인 뉴스],"5. 주호영·김종인·홍준표 '봉은사 오찬' 불발…金 ""뭐하러 가나""","https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=448&aid=0000328578
"
9,[국내 경제 헤드라인 뉴스],1. ‘일자리 지키기’ 화두…현대車 임단협 난항 예상,"https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=056&aid=0011047374
"
