N,카테고리,내용,링크
10,[국내 경제 헤드라인 뉴스],2. 비트코인 한 달 새 40% 폭락… “금리 인상 땐 더 큰 충격”,"https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=022&aid=0003582557
"
11,[국내 경제 헤드라인 뉴스],3. 머스크 '말장난'에 중국 제재… 비트코인 4만달러선 붕괴,"https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=022&aid=0003582556
"
12,[국내 경제 헤드라인 뉴스],4. ‘코인 민심’에 몸사리는 당정… 정책 수립 놓고 끙끙,"https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=022&aid=0003582555
"
13,[국내 경제 헤드라인 뉴스],"5. “투자 보따리에 뭐 들었니”…미국 상무부, 한국 기업 따로 회의","https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=025&aid=0003102805
"
14,[국내 IT/과학 헤드라인 뉴스],1. “지금도 너무 비싸?” 갤럭시노트20 가격 언제 팍 내리나,"https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001837105
"
15,[국내 IT/과학 헤드라인 뉴스],2. [코로나 백신 대란] 美와 `백신 동맹` 구상… 글로벌 생산기지 도약 전환점 될수도,"https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=029&aid=0002674667
"
16,[국내 IT/과학 헤드라인 뉴스],3. 슬리퍼 끌고 오던 ‘대충’ 배달 사라지나…전문 라이더 늘어난다,"https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001837102
"
17,[국내 IT/과학 헤드라인 뉴스],"4. `초거대 AI` 포문 연 네이버, 25일 개발 성과 나온다","https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=029&aid=0002674634
"
18,[국내 IT/과학 헤드라인 뉴스],"5. 510조 투자 한국 반도체 전략…유럽 ""발등에 불 떨어졌다""","https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0012403601
"
19,[해외 헤드라인 뉴스],"1. Bitcoin's plunge intensifies, tanks 30% to $30,000 in single day amid broad cryptocurrency sell-off","https://www.cnbc.com/2021/05/19/bitcoin-btc-price-plunges-but-bottom-could-be-near-.html
"
20,[해외 헤드라인 뉴스],2. Biden tells Israel’s Netanyahu U.S. expects ‘a significant de-escalation today’ in Gaza,"https://www.cnbc.com/2021/05/19/biden-tells-israels-netanyahu-us-expects-a-significant-de-escalation-today-in-gaza.html
"
21,[해외 헤드라인 뉴스],"3. Dow drops 450 points, stocks fall as investors dump bitcoin, other speculative assets","https://www.cnbc.com/2021/05/18/stock-market-futures-open-to-close-news.html
"
22,[해외 헤드라인 뉴스],"4. Tesla, Coinbase lead drop in crypto-related stocks as bitcoin plunges","https://www.cnbc.com/2021/05/19/tesla-coinbase-lead-drop-in-crypto-related-stocks-as-bitcoin-plunges.html
"
23,[해외 헤드라인 뉴스],"5. Crypto bull Mike Novogratz calls bitcoin plunge a 'liquidation event,' feels like capitulation","https://www.cnbc.com/2021/05/19/crypto-bull-mike-novogratz-says-morning-plunge-felt-like-capitulation.html
"
23,[경제 관련 데이터],"달러환율 1,129.00
전일대비 9.00(-0.79%) 하락"
24,[경제 관련 데이터],"나스닥지수 13,186.08
전일대비 117.56(-0.88%) 하락"
25,[경제 관련 데이터],"S&P500지수 4,079.13
전일대비 48.70(-1.18%) 하락"
